Sample_ID	Experiment	Flow cell	Plasmid	Total plasmids in sample	Linear	Nick	Txn	RnaseH	Co-SSB	Post-SSB	Co-RPA	Linearization post txn	Deprotienize post Co-RPA	Transcription_Date	T4_ligase_repair_date	PCR1_date	PCR cleaup method	Fwd_primer	Rev_primer
PBEH2-69	7	B	pFC8T1T2init VRmix	31	-	-	+	+	-	-	-	-	-	11/3/23	11/7/23	11/13/23	Gel extraction and electro-elution	PacBioFwdV2-9	PacBioRevV2-5
PBEH2-70	7	B	pFC8T1T2init VRmix	31	-	-	-	-	+	-	-	-	-	11/3/23	11/7/23	11/13/23	Gel extraction and electro-elution	PacBioFwdV2-0	PacBioRevV2-5
PBEH2-71	7	B	pFC8T1T2init VRmix	31	-	-	+	-	+	-	-	-	-	11/3/23	11/7/23	11/13/23	Gel extraction and electro-elution	PacBioFwdV2-1	PacBioRevV2-5
PBEH2-72	7	B	pFC8T1T2init VRmix	31	-	-	+	+	+	-	-	-	-	11/3/23	11/7/23	11/13/23	Gel extraction and electro-elution	PacBioFwdV2-2	PacBioRevV2-5
PBEH2-73	8	A	pFC9	1	-	-	+	-	-	-	-	-	-	12/7/23	12/7/23	12/8/23	Gel Extraction and column cleanup	PacBioFwd-SSB-19	PacBioRevV2-24
PBEH2-74	8	A	pFC9	1	-	-	+	+	-	-	-	-	-	12/7/23	12/7/23	12/8/23	Gel Extraction and column cleanup	PacBioFwd-SSB-19	PacBioRevV2-25
PBEH2-75	8	A	pFC9	1	HindIII	-	+	-	-	-	-	+	-	12/7/23	12/7/23	12/8/23	Gel Extraction and column cleanup	PacBioFwd-SSB-19	PacBioRevV2-26
PBEH2-76	8	A	pFC9	1	HindIII	-	+	+	-	-	-	+	-	12/7/23	12/7/23	12/8/23	Gel Extraction and column cleanup	PacBioFwd-SSB-19	PacBioRevV2-27
PBEH2-77	8	A	pFC9	1	-	-	+	-	+	-	-	-	-	12/7/23	12/7/23	12/8/23	Gel Extraction and column cleanup	PacBioFwd-SSB-18	PacBioRevV2-24
PBEH2-78	8	A	pFC9	1	-	-	+	+	+	-	-	-	-	12/7/23	12/7/23	12/8/23	Gel Extraction and column cleanup	PacBioFwd-SSB-18	PacBioRevV2-25
PBEH2-79	8	A	pFC9	1	HindIII	-	+	-	+	-	-	+	-	12/7/23	12/7/23	12/8/23	Gel Extraction and column cleanup	PacBioFwd-SSB-18	PacBioRevV2-26
PBEH2-80	8	A	pFC9	1	HindIII	-	+	+	+	-	-	+	-	12/7/23	12/7/23	12/8/23	Gel Extraction and column cleanup	PacBioFwd-SSB-18	PacBioRevV2-27
